name,lga,state_id,state,postcode,latitude,longitude,map,type,id
Balwyn North,Whitehorse,VIC,Victoria,3104,-37.79343,145.10743,7922,Suburb,e372e88169ec7a3ba6b62fb90f841f31
Bamaga,Northern Peninsula Area,QLD,Queensland,4876,-10.89209,142.38728,7376,Town,9789fa2940c42d6e57503eb4a748327f
Bamarang,Shoalhaven,NSW,New South Wales,2540,-34.89850,150.51790,9028,Suburb,a3e40926188586c682df023c6b246bf0
Bamawm,Campaspe,VIC,Victoria,3561,-36.25926,144.62788,7825,Locality,ddd8bea71aa76a48d879704978bee1c7
Bamawm Extension,Campaspe,VIC,Victoria,3561,-36.17763,144.60354,7825,Locality,f2d67fe32b217592bb9a3592ba6a7cd9
Bambaroo,Hinchinbrook,QLD,Queensland,4850,-18.88750,146.18556,8160,Locality,eae62384b0479dbc7e408bcd7e67c4d5
Bamboo,East Pilbara,WA,Western Australia,6721,-20.92559,120.21050,2956,Locality,af1b92fb7a320a7e0494a1f636178206
Bamboo,Cairns,QLD,Queensland,4873,-16.35472,145.39166,7965,Locality,18c27aae81fe342f056a572fe766a339
Bamboo Creek,Cassowary Coast,QLD,Queensland,4860,-17.55278,145.98917,8062,Locality,72b1846b68af0ce0000f2f3e31f23cdf
Bambra,Surf Coast,VIC,Victoria,3241,-38.36160,143.95219,7621,Locality,5293a24a0af58599d386001fa3ccc3fd
Bambun,Gingin,WA,Western Australia,6503,-31.42572,115.88060,2035,Locality,cbcc9d2c8f83dd7adc4cdf466e7f563b
Bamganie,Golden Plains,VIC,Victoria,3329,-37.93957,143.99541,7622,Locality,1ad57a35551b6502b99ee266c277e2b1
Banana,Banana,QLD,Queensland,4702,-24.47230,150.12831,8949,Town,2a906b9b4bb81d83198575389ab3cf45
Ban Ban,North Burnett,QLD,Queensland,4625,-25.70528,151.82889,9246,Locality,c104022d8cb065722c3b7029d94d67af
Ban Ban Springs,North Burnett,QLD,Queensland,4625,-25.67611,151.82056,9246,Locality,532157ac56b5128adb83aefe7fb307ff
Banca,Dorset,TAS,Tasmania,7264,-41.02000,147.80000,8415,Locality,3f27e494790ca645bf36aa0b2d33e113
Bancroft,North Burnett,QLD,Queensland,4630,-24.79417,151.28862,9148,Locality,5e6753abf00ab5ac588def88585ed8ab
Banda Banda,Port Macquarie-Hastings,NSW,New South Wales,2446,-31.19020,152.45120,9335,Locality,37c4a917a62e546ff26a7c675e6e6619
Bandiana,Wodonga,VIC,Victoria,3690,-36.13124,146.93031,8225,Locality,1f5dde4f93ea44c0bbf6d57941592109
Bandon Grove,Dungog,NSW,New South Wales,2420,-32.26710,151.69790,9233,Locality,6dfaf58caafc9e908a08f55201b7128d
Bandya,Laverton,WA,Western Australia,0872,-27.93089,122.24390,3342,Locality,c10de9decaedba1c3d8a1158ced6fede
Bandy Creek,Esperance,WA,Western Australia,6450,-33.81611,121.97780,3230,Locality,f5517616b060df392b91451363861701
Bangadang,Tumut Shire,NSW,New South Wales,2729,-35.27340,147.98310,8427,Locality,9dfa88e5bfe9f516d5b03806c7007e0f
Bangadilly,Wingecarribee,NSW,New South Wales,2577,-34.43800,150.13480,8929,Locality,72d67d82b3720a98f4efdf51db6d3143
Bangalee,Gladstone,QLD,Queensland,4680,-24.00528,151.43195,9149,Town,e49f4b51ae2ff106308b9730a4900ccc
Bangalee,Shoalhaven,NSW,New South Wales,2541,-34.84200,150.55220,9028,Suburb,97289816869f6cdcb82b06adc400119b
Bangall,Barcaldine,QLD,Queensland,4726,-22.42028,144.00917,7753,Locality,d1094f2a06f23e855b781bd7c7f2a4a4
Bangalow,Byron,NSW,New South Wales,2479,-28.68675,153.52392,9540,Town,47d0f98abe0c72bcf0a5a7ee45bb71ff
Bangerang,Yarriambiack,VIC,Victoria,3393,-36.19756,142.58147,7425,Locality,3cfb396c21eaa0f09829dd6dc7e5f6b7
Bangham,Tatiara,SA,South Australia,5268,-36.56429,140.93683,7024,Locality,65ecb9c5d30c0336a3e1e4521b6eb58f
Bangheet,Gwydir,NSW,New South Wales,2404,-29.83160,150.43070,8938,Locality,21212a4d8bff602f4a5f0a3a759b6716
Bangholme,Greater Dandenong,VIC,Victoria,3175,-38.04674,145.17198,7921,Locality,a2bd503970425cd5d0bd74163379d4a6
Bango,Yass Valley,NSW,New South Wales,2582,-34.75430,148.96400,8628,Locality,b1751d9a36f41af4249d5693a0a66d07
Bangor,Launceston,TAS,Tasmania,7267,-41.21000,147.13000,8315,Locality,d7d0ddf74a2d2403cd5f0814cc921dd1
Bangor,Sutherland Shire,NSW,New South Wales,2234,-34.01560,151.03350,9129,Suburb,91137738c3980f0df5441d94183d9de3
Bangor,Mount Remarkable,SA,South Australia,5483,-32.95410,138.15715,6532,Locality,8c8119021ff59c418be77d1a61ed39ab
Banjup,Cockburn,WA,Western Australia,6164,-32.12350,115.87650,2033,Suburb,a4f1fe5881b12fbaf2d1e1a5e4e1a221
Banks,Unincorporated,ACT,Australian Capital Territory,2906,-35.47230,149.09905,8727,Suburb,3ddd19e8e0f2d5aa216312ac2c2daf71
Banks Creek,Brisbane,QLD,Queensland,4306,-27.38195,152.75111,9443,Locality,1a61f17ce9cda5facff3f962a9d68779
Banksia,Rockdale,NSW,New South Wales,2216,-33.94650,151.14640,9130,Suburb,578d87b0f42a96153e58f8b11a0d23a2
Banksia Beach,Moreton Bay,QLD,Queensland,4507,-27.04194,153.13889,9543,Suburb,b2b2c752cfe841e31c408e42419df5dd
Banksiadale,Murray,WA,Western Australia,6213,-32.63323,116.10730,2132,Locality,c7ebb07111c565bd55a7972ad70f8a83
Banksia Grove,Wanneroo,WA,Western Australia,6031,-31.69683,115.80730,2034,Suburb,1b51fa8a181b18f53d33d136688ff638
Banksia Park,Tea Tree Gully,SA,South Australia,5091,-34.80971,138.73416,6628,Suburb,31f2c8b373ab75689f08a7a828250a9c
